num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
1161,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.19,99.91,6.7,5.088,4.947,6.034,1131,551,580,0,1246,8019,0.134,1.0,37.9
1181,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.19,100.97,6.64,5.104,4.931,6.518,1123,537,586,0,1369,8019,0.146,1.0,36.0
1201,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.73,100.18,6.37,5.251,5.189,6.613,1164,580,584,0,1378,7973,0.147,1.0,35.4
1221,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.21,99.53,6.34,5.718,5.288,5.896,1181,616,565,0,1354,7921,0.146,1.0,36.9
1241,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.62,100.01,6.11,5.712,5.51,6.862,1237,674,563,0,1352,8062,0.144,1.0,39.7
1261,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.53,98.62,6.41,6.283,5.871,6.52,1217,628,589,0,1371,7853,0.149,1.0,40.3
1281,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.73,98.39,6.21,7.244,6.781,6.75,1348,792,556,0,1398,7973,0.149,1.0,40.5
1301,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.1,98.77,6.26,7.628,7.255,6.045,1378,882,496,0,1468,8010,0.155,1.0,36.9
1321,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.93,99.53,5.76,9.193,8.846,5.831,1563,1010,553,0,151926,7993,0.95,1.0,43.3
1341,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.31,100.51,6.03,9.14,8.986,6.025,1567,1011,556,0,6588580,8031,0.999,1.0,40.5
1361,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.46,100.66,5.97,9.334,8.873,5.746,1485,1010,475,0,7323719,8046,0.999,1.0,37.2
1381,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.54,100.27,6.37,9.412,8.981,6.461,1523,1012,511,0,9709063,8054,0.999,1.0,39.6
