num_clients,app_servers,db_servers,app_server_service_time,db_server_service_time,app_to_db_server_probability,priority_probability,app_server_queue_length,db_server_queue_length,system_throughput,app_server_throughput,db_server_throughput,system_average_response_time,app_server_average_response_time,db_server_average_response_time,number_in_system,number_in_app_server,number_in_db_app_server,priority_requests_dropped,regular_requests_dropped,total_requests_served,fraction_of_requests_dropped,app_server_utilization,db_server_utlization
1261,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,81.05,101.62,6.96,5.407,5.805,12.905,1146,208,938,0,852,8105,0.095,1.0,29.5
1281,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.28,99.17,7.19,6.617,6.501,9.408,1138,343,795,0,829,7928,0.095,1.0,22.5
1301,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.3,100.24,7.76,5.827,6.24,15.213,1142,325,817,0,853,8030,0.096,1.0,24.1
1321,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,81.42,100.99,7.13,6.321,6.252,12.202,1377,521,856,0,1187,8142,0.127,1.0,30.4
1341,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.37,100.67,7.11,6.667,6.38,12.712,1471,649,822,0,1473,8037,0.155,1.0,27.3
1361,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.49,99.14,7.14,7.531,7.098,14.006,1571,738,833,0,1485,7949,0.157,1.0,30.0
1381,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,78.2,97.78,7.61,9.109,8.84,11.787,1697,1011,686,0,27697,7820,0.78,1.0,29.1
1401,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.76,99.34,7.11,9.081,8.801,12.504,1715,1011,704,0,48029,7976,0.858,1.0,28.5
1421,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.83,100.33,7.14,8.949,8.681,11.024,1719,1011,708,0,56397,7983,0.876,1.0,24.2
1441,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.54,100.15,7.66,9.048,8.633,15.076,1755,1010,745,0,169048,8054,0.955,1.0,27.3
1461,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.82,101.22,7.02,9.069,8.745,11.806,1807,1010,797,0,161220,7982,0.953,1.0,31.3
1481,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,79.8,99.43,7.24,9.355,8.952,13.569,1745,1011,734,0,231493,7980,0.967,1.0,29.0
1501,10,10,0.1,1.0,0.2,0.2,1000.0,1000.0,80.59,100.35,7.17,9.412,8.95,13.551,1724,1011,713,0,280553,8059,0.972,1.0,27.0
